"model","strain","serial","q025","q50","q975","source","strain_label"
"Lognormal","non-SGTF",-8.6,0.000208786258,0.00028617611,0.00039631858675,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-8.4,0.000229551539,0.000312856645,0.000431152059,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-8.2,0.00025274959025,0.000342517455,0.00046975717475,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-8,0.00027830687475,0.000374953675,0.0005119347495,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-7.8,0.00030700370275,0.000411380045,0.0005587104465,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-7.6,0.00033898180475,0.000451689475,0.00060989508575,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-7.4,0.00037482498,0.00049622054,0.00066615536225,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-7.2,0.0004148726545,0.00054615096,0.0007291445155,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-7,0.00045973581775,0.00060100255,0.00079803007575,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-6.8,0.000510976955,0.00066288193,0.0008740498255,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-6.6,0.0005672696095,0.000731624955,0.00095878613375,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-6.4,0.000630651391,0.00080814662,0.001052780335,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-6.2,0.0007035862775,0.00089457317,0.0011603108,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-6,0.0007837906,0.00099129247,0.0012766471125,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-5.8,0.000875826948,0.0011003249,0.001408563335,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-5.6,0.00098001733875,0.00122223695,0.00155545309,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-5.4,0.0010982019975,0.0013612431,0.001721340625,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-5.2,0.001233109205,0.0015171425,0.001908691285,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-5,0.0013842946375,0.0016921775,0.0021166686625,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-4.8,0.001558402435,0.0018903162,0.0023492128475,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-4.6,0.0017538352175,0.00211750065,0.0026176958775,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-4.4,0.0019763617375,0.0023744789,0.0029198291925,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-4.2,0.0022388138025,0.00266804,0.003258835845,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-4,0.0025305177025,0.00300382855,0.003630809575,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-3.8,0.0028678797875,0.00338818465,0.0040629785,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-3.6,0.00325762884,0.00382794505,0.0045492948425,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-3.4,0.0036988034075,0.0043325678,0.0051060344375,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-3.2,0.0042263662125,0.00490948975,0.005748956965,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-3,0.004826177795,0.00556971095,0.0064765109575,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-2.8,0.0055213252225,0.0063362317,0.0073182338275,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-2.6,0.0063277102125,0.00722261825,0.00828503069,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-2.4,0.0072626755475,0.0082495512,0.00939534344,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-2.2,0.0083562688225,0.0094427755,0.01067654245,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-2,0.009629162915,0.0108302725,0.01217618395,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-1.8,0.0111033275,0.012458084,0.013973822225,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-1.6,0.012854248725,0.0143524365,0.016071932,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-1.4,0.014848894325,0.016550606,0.01847314715,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-1.2,0.017282057975,0.0191721945,0.0214006131,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-1,0.02006709055,0.0222240305,0.02470516495,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-0.799999999999999,0.0233349863,0.025808758,0.028647371025,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-0.6,0.02715220895,0.030017652,0.033222487675,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-0.399999999999999,0.031554908025,0.03493957,0.038771093775,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-0.199999999999999,0.036744393525,0.0407434065,0.045423642675,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",0,0.0427332617,0.047485566,0.053001421825,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",0.200000000000001,0.0496619972,0.0553165805,0.06173378245,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",0.4,0.0577031334,0.064278257,0.07166299885,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",0.600000000000001,0.0668613894,0.0743275125,0.082550603975,"serial_density_norm_grid","Delta"
