"model","strain","parameter","value","parameter_label"
"Mechanistic","SGTF","lambda_I",1.22961855081727,"lambda[I]"
"Mechanistic","SGTF","r",0.145389344588999,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.777260283119158,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.45086,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",3.12320588025207,"kappa"
"Mechanistic","SGTF","sigma_z",3.32094705572953,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.365134317478761,"lambda[1]"
"Mechanistic","SGTF","lambda_I",1.1806498414689,"lambda[I]"
"Mechanistic","SGTF","r",0.464825598841875,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.607151458061735,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",1.82329,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",9.4538304688842,"kappa"
"Mechanistic","SGTF","sigma_z",2.33389606027501,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.762435015276032,"lambda[1]"
"Mechanistic","SGTF","lambda_I",1.26001799171458,"lambda[I]"
"Mechanistic","SGTF","r",0.275317583100766,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.634363591979617,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.00881,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",14.8520811468738,"kappa"
"Mechanistic","SGTF","sigma_z",3.99962257332792,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.708836773279054,"lambda[1]"
"Mechanistic","SGTF","lambda_I",1.61060196432229,"lambda[I]"
"Mechanistic","SGTF","r",0.263181860757642,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.735805839561147,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",1.22367,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",1.45942131856102,"kappa"
"Mechanistic","SGTF","sigma_z",2.2211320536754,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.58029307577728,"lambda[1]"
"Mechanistic","SGTF","lambda_I",1.48627650152606,"lambda[I]"
"Mechanistic","SGTF","r",0.234075866584047,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.742223402198894,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",1.22589,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",0.866433429211997,"kappa"
"Mechanistic","SGTF","sigma_z",2.35674634399041,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.816403957954714,"lambda[1]"
"Mechanistic","SGTF","lambda_I",1.6684882884904,"lambda[I]"
"Mechanistic","SGTF","r",0.346421166481246,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.787887473065142,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",1.26443,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",0.732687498644594,"kappa"
"Mechanistic","SGTF","sigma_z",2.24265403151257,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.0480559174126766,"lambda[1]"
"Mechanistic","SGTF","lambda_I",1.3019341936532,"lambda[I]"
"Mechanistic","SGTF","r",0.318934348963441,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.729257781309882,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",1.84212,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",2.35224925456095,"kappa"
"Mechanistic","SGTF","sigma_z",3.4036895328985,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.0901788823150323,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.896622816304336,"lambda[I]"
"Mechanistic","SGTF","r",0.209619771774275,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.692328309624519,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.11671,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",12.5947492385077,"kappa"
"Mechanistic","SGTF","sigma_z",4.01007522301844,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.0354397927916176,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.986427843635978,"lambda[I]"
"Mechanistic","SGTF","r",0.275135933446899,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.712023046082926,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.03761,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",14.2060794035847,"kappa"
"Mechanistic","SGTF","sigma_z",3.6974004808979,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.287762440098536,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.832693209975684,"lambda[I]"
"Mechanistic","SGTF","r",0.23553635588727,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.696317182830531,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",1.90275,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",15.6632937921344,"kappa"
"Mechanistic","SGTF","sigma_z",3.4296561213991,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.0985353413228348,"lambda[1]"
"Mechanistic","SGTF","lambda_I",1.27401712630605,"lambda[I]"
"Mechanistic","SGTF","r",0.253467416177826,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.721717132570305,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.05487,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",12.6834754427674,"kappa"
"Mechanistic","SGTF","sigma_z",2.8261348478918,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.222506269554454,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.926764028275785,"lambda[I]"
"Mechanistic","SGTF","r",0.161409607321737,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.944207903808488,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",1.92275,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",1.47408579848421,"kappa"
"Mechanistic","SGTF","sigma_z",4.01565310330716,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.0959920407313388,"lambda[1]"
"Mechanistic","SGTF","lambda_I",1.3286016524486,"lambda[I]"
"Mechanistic","SGTF","r",0.283268519228095,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",1.00314951934674,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.62711,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",1.93814629841961,"kappa"
"Mechanistic","SGTF","sigma_z",4.42787595199778,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.1312659317651,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.867859017281933,"lambda[I]"
"Mechanistic","SGTF","r",0.247726491070471,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.967169514028465,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",1.89088,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",1.35094723235117,"kappa"
"Mechanistic","SGTF","sigma_z",4.44731258381789,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.229962276207557,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.817984411014886,"lambda[I]"
"Mechanistic","SGTF","r",0.123726722034373,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.726424299717718,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.17672,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",4.26503334840574,"kappa"
"Mechanistic","SGTF","sigma_z",4.28268436038511,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.218554471070127,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.757667987885212,"lambda[I]"
