"model","strain","parameter","value"
"Mechanistic","SGTF","r",0.203357452228536
"Mechanistic","SGTF","d",0.726868280587189
"Mechanistic","SGTF","m",2.43535
"Mechanistic","SGTF","kappa",6.98761991714147
"Mechanistic","SGTF","sigma_z",3.2458913611441
"Mechanistic","SGTF","lambda1",0.126486461532561
"Mechanistic","SGTF","lambda_I",1.1967301948005
"Mechanistic","SGTF","r",0.185717235732597
"Mechanistic","SGTF","d",0.72968598129191
"Mechanistic","SGTF","m",1.59047
"Mechanistic","SGTF","kappa",2.0913274334804
"Mechanistic","SGTF","sigma_z",3.89899957110823
"Mechanistic","SGTF","lambda1",0.200988014912869
"Mechanistic","SGTF","lambda_I",0.708234518016514
"Mechanistic","SGTF","r",0.356161855917183
"Mechanistic","SGTF","d",0.635376209256426
"Mechanistic","SGTF","m",1.90161
"Mechanistic","SGTF","kappa",15.2585499743288
"Mechanistic","SGTF","sigma_z",3.31905465529313
"Mechanistic","SGTF","lambda1",1.30306606619488
"Mechanistic","SGTF","lambda_I",1.02911025620587
"Mechanistic","SGTF","r",0.731912725198452
"Mechanistic","SGTF","d",0.704790981690744
"Mechanistic","SGTF","m",2.12979
"Mechanistic","SGTF","kappa",16.6831628790339
"Mechanistic","SGTF","sigma_z",3.27415558761797
"Mechanistic","SGTF","lambda1",0.0933247437468393
"Mechanistic","SGTF","lambda_I",1.190193620273
"Mechanistic","SGTF","r",0.569900781983797
"Mechanistic","SGTF","d",0.731476635181968
"Mechanistic","SGTF","m",2.06503
"Mechanistic","SGTF","kappa",18.9954599383493
"Mechanistic","SGTF","sigma_z",4.27562375778949
"Mechanistic","SGTF","lambda1",0.635172286224652
"Mechanistic","SGTF","lambda_I",0.392634156562816
"Mechanistic","SGTF","r",0.459870661356083
"Mechanistic","SGTF","d",0.660645428398358
"Mechanistic","SGTF","m",2.06133
"Mechanistic","SGTF","kappa",14.8644134914407
"Mechanistic","SGTF","sigma_z",3.66218513250354
"Mechanistic","SGTF","lambda1",0.150759413632664
"Mechanistic","SGTF","lambda_I",2.4338491099052
"Mechanistic","SGTF","r",0.422457258760179
"Mechanistic","SGTF","d",0.671548526370464
"Mechanistic","SGTF","m",2.11161
"Mechanistic","SGTF","kappa",9.47616785654067
"Mechanistic","SGTF","sigma_z",3.43879115088492
"Mechanistic","SGTF","lambda1",0.0755394683285248
"Mechanistic","SGTF","lambda_I",2.413879006894
"Mechanistic","SGTF","r",0.311579735748446
"Mechanistic","SGTF","d",0.632496241936807
"Mechanistic","SGTF","m",2.05387
"Mechanistic","SGTF","kappa",11.2311368844767
"Mechanistic","SGTF","sigma_z",4.07634192813175
"Mechanistic","SGTF","lambda1",0.0466412470275477
"Mechanistic","SGTF","lambda_I",1.76782327210046
"Mechanistic","SGTF","r",0.347663576844864
"Mechanistic","SGTF","d",0.715797480853854
"Mechanistic","SGTF","m",1.92632
"Mechanistic","SGTF","kappa",9.07978033372929
"Mechanistic","SGTF","sigma_z",3.82003658577259
"Mechanistic","SGTF","lambda1",0.0616396467132153
"Mechanistic","SGTF","lambda_I",0.930414214552939
"Mechanistic","SGTF","r",0.176758656402783
"Mechanistic","SGTF","d",0.704910806342438
"Mechanistic","SGTF","m",2.00607
"Mechanistic","SGTF","kappa",10.2987239581228
"Mechanistic","SGTF","sigma_z",3.45958970614773
"Mechanistic","SGTF","lambda1",0.323356451249156
"Mechanistic","SGTF","lambda_I",0.424704774361074
"Mechanistic","SGTF","r",0.355407592584269
"Mechanistic","SGTF","d",0.756578487734008
"Mechanistic","SGTF","m",2.12466
"Mechanistic","SGTF","kappa",3.41893808022386
"Mechanistic","SGTF","sigma_z",4.06709912650367
"Mechanistic","SGTF","lambda1",0.207125580620948
"Mechanistic","SGTF","lambda_I",0.958370914554871
"Mechanistic","SGTF","r",0.337044604439837
"Mechanistic","SGTF","d",0.762725558361795
"Mechanistic","SGTF","m",2.29929
"Mechanistic","SGTF","kappa",3.54178203429141
"Mechanistic","SGTF","sigma_z",4.31470950440864
"Mechanistic","SGTF","lambda1",1.24979682737067
"Mechanistic","SGTF","lambda_I",1.13124183689325
"Mechanistic","SGTF","r",0.392966858572836
"Mechanistic","SGTF","d",0.774883177268069
"Mechanistic","SGTF","m",2.29224
"Mechanistic","SGTF","kappa",1.67066875773166
"Mechanistic","SGTF","sigma_z",3.16103656276042
"Mechanistic","SGTF","lambda1",0.722635018238578
"Mechanistic","SGTF","lambda_I",1.16219446717543
"Mechanistic","SGTF","r",0.272859027487057
"Mechanistic","SGTF","d",0.801251819438306
"Mechanistic","SGTF","m",2.4874
"Mechanistic","SGTF","kappa",2.38575348244549
"Mechanistic","SGTF","sigma_z",3.59042291793318
"Mechanistic","SGTF","lambda1",0.949938151681531
"Mechanistic","SGTF","lambda_I",2.14587200734559
"Mechanistic","SGTF","r",0.180930916023974
"Mechanistic","SGTF","d",0.758238726736299
"Mechanistic","SGTF","m",2.59634
"Mechanistic","SGTF","kappa",4.57405445104701
"Mechanistic","SGTF","sigma_z",3.33435747621162
"Mechanistic","SGTF","lambda1",1.0575985298151
"Mechanistic","SGTF","lambda_I",2.38201555228811
"Mechanistic","SGTF","r",0.349699872329032
"Mechanistic","SGTF","d",0.65374886483145
"Mechanistic","SGTF","m",2.348
"Mechanistic","SGTF","kappa",2.29500265414033
"Mechanistic","SGTF","sigma_z",3.4984149692778
"Mechanistic","SGTF","lambda1",0.585594329273253
"Mechanistic","SGTF","lambda_I",1.34834916037546
"Mechanistic","SGTF","r",0.30264039302592
"Mechanistic","SGTF","d",0.632307153830548
"Mechanistic","SGTF","m",2.047
"Mechanistic","SGTF","kappa",4.2587683552817
"Mechanistic","SGTF","sigma_z",2.00227893628228
"Mechanistic","SGTF","lambda1",1.37461679811964
"Mechanistic","SGTF","lambda_I",1.42697668515853
"Mechanistic","SGTF","r",0.523973064294739
"Mechanistic","SGTF","d",0.641079374855478
"Mechanistic","SGTF","m",2.15947
"Mechanistic","SGTF","kappa",2.17960572423257
"Mechanistic","SGTF","sigma_z",2.85097203202523
"Mechanistic","SGTF","lambda1",0.671394759364919
"Mechanistic","SGTF","lambda_I",1.58318556871297
"Mechanistic","SGTF","r",0.375024470677781
"Mechanistic","SGTF","d",0.693330833839891
"Mechanistic","SGTF","m",2.11212
"Mechanistic","SGTF","kappa",1.90875271510202
"Mechanistic","SGTF","sigma_z",2.69801414353162
"Mechanistic","SGTF","lambda1",0.512968930486122
"Mechanistic","SGTF","lambda_I",1.43146013964151
"Mechanistic","SGTF","r",0.36084383654117
"Mechanistic","SGTF","d",0.699677335146122
"Mechanistic","SGTF","m",2.21819
"Mechanistic","SGTF","kappa",1.83926861361642
"Mechanistic","SGTF","sigma_z",3.41654566101212
"Mechanistic","SGTF","lambda1",0.861246948298896
"Mechanistic","SGTF","lambda_I",1.73478936054053
"Mechanistic","SGTF","r",0.319719893285257
"Mechanistic","SGTF","d",0.703040344339158
"Mechanistic","SGTF","m",2.12672
"Mechanistic","SGTF","kappa",3.42729047491723
"Mechanistic","SGTF","sigma_z",3.09457320993651
"Mechanistic","SGTF","lambda1",0.0485345191087665
"Mechanistic","SGTF","lambda_I",0.557261316032475
"Mechanistic","SGTF","r",0.193733844006184
"Mechanistic","SGTF","d",0.802946654495429
"Mechanistic","SGTF","m",1.83213
"Mechanistic","SGTF","kappa",2.0439536582594
"Mechanistic","SGTF","sigma_z",3.94595103991247
"Mechanistic","SGTF","lambda1",0.109561417122545
"Mechanistic","SGTF","lambda_I",0.725719284063186
"Mechanistic","SGTF","r",0.32958862271644
"Mechanistic","SGTF","d",0.72199504716147
"Mechanistic","SGTF","m",1.88617
"Mechanistic","SGTF","kappa",9.1075159390444
"Mechanistic","SGTF","sigma_z",3.92316999815007
"Mechanistic","SGTF","lambda1",0.0755575999766344
"Mechanistic","SGTF","lambda_I",1.13286973283137
"Mechanistic","SGTF","r",0.116591372509865
"Mechanistic","SGTF","d",0.753391700383525
"Mechanistic","SGTF","m",1.84156
"Mechanistic","SGTF","kappa",4.57323119534105
"Mechanistic","SGTF","sigma_z",3.16989986797276
"Mechanistic","SGTF","lambda1",0.113817385107408
"Mechanistic","SGTF","lambda_I",1.34295847838418
"Mechanistic","SGTF","r",0.0937053494611264
"Mechanistic","SGTF","d",0.8256948538893
"Mechanistic","SGTF","m",2.17134
"Mechanistic","SGTF","kappa",2.63162098385757
"Mechanistic","SGTF","sigma_z",4.06287154213703
"Mechanistic","SGTF","lambda1",0.581411215812651
"Mechanistic","SGTF","lambda_I",1.28756392138369
"Mechanistic","SGTF","r",0.302776611849718
"Mechanistic","SGTF","d",0.614403746099566
"Mechanistic","SGTF","m",2.03534
"Mechanistic","SGTF","kappa",8.17793766799219
"Mechanistic","SGTF","sigma_z",3.4455033358826
"Mechanistic","SGTF","lambda1",0.707362510357332
"Mechanistic","SGTF","lambda_I",1.50401620489372
"Mechanistic","SGTF","r",0.25133464018016
"Mechanistic","SGTF","d",0.609114509629007
"Mechanistic","SGTF","m",2.00263
"Mechanistic","SGTF","kappa",5.15893415990783
"Mechanistic","SGTF","sigma_z",3.17323001085318
"Mechanistic","SGTF","lambda1",0.328354979907195
"Mechanistic","SGTF","lambda_I",0.964340529865588
"Mechanistic","SGTF","r",0.69660064160389
"Mechanistic","SGTF","d",0.731424702184513
"Mechanistic","SGTF","m",1.59507
"Mechanistic","SGTF","kappa",1.73228440018427
"Mechanistic","SGTF","sigma_z",1.62069164582852
"Mechanistic","SGTF","lambda1",0.26459365689995
"Mechanistic","SGTF","lambda_I",0.570146462161107
"Mechanistic","SGTF","r",0.43917118450049
"Mechanistic","SGTF","d",0.700204390590958
"Mechanistic","SGTF","m",2.07035
"Mechanistic","SGTF","kappa",3.91458765694788
"Mechanistic","SGTF","sigma_z",3.89603745718006
"Mechanistic","SGTF","lambda1",1.08912650128436
"Mechanistic","SGTF","lambda_I",1.56745298585472
"Mechanistic","SGTF","r",0.597232377070599
"Mechanistic","SGTF","d",0.613145508554191
"Mechanistic","SGTF","m",2.0604
"Mechanistic","SGTF","kappa",15.3864922823799
"Mechanistic","SGTF","sigma_z",3.36928312775038
"Mechanistic","SGTF","lambda1",0.488738840832247
"Mechanistic","SGTF","lambda_I",1.19235697561954
"Mechanistic","SGTF","r",0.532796355530439
"Mechanistic","SGTF","d",0.64858254323657
"Mechanistic","SGTF","m",1.95732
"Mechanistic","SGTF","kappa",14.7396331737046
"Mechanistic","SGTF","sigma_z",3.74132564814852
"Mechanistic","SGTF","lambda1",0.457693286195568
"Mechanistic","SGTF","lambda_I",1.01708836378204
"Mechanistic","SGTF","r",0.502670194937775
"Mechanistic","SGTF","d",0.617334044775915
"Mechanistic","SGTF","m",1.93728
"Mechanistic","SGTF","kappa",17.6687934217174
"Mechanistic","SGTF","sigma_z",4.44455610461277
"Mechanistic","SGTF","lambda1",0.0196944186625846
"Mechanistic","SGTF","lambda_I",0.382177545330298
"Mechanistic","SGTF","r",0.317340483841112
"Mechanistic","SGTF","d",0.842775219559823
"Mechanistic","SGTF","m",1.57949
