"group","parameter","value"
"Omicron posterior","sigma_z",3.36928312775038
"Omicron posterior","lambda1",0.488738840832247
"Omicron posterior","lambda_I",1.19235697561954
"Omicron posterior","r",0.532796355530439
"Omicron posterior","d",0.64858254323657
"Omicron posterior","m",1.95732
"Omicron posterior","kappa",14.7396331737046
"Omicron posterior","sigma_z",3.74132564814852
"Omicron posterior","lambda1",0.457693286195568
"Omicron posterior","lambda_I",1.01708836378204
"Omicron posterior","r",0.502670194937775
"Omicron posterior","d",0.617334044775915
"Omicron posterior","m",1.93728
"Omicron posterior","kappa",17.6687934217174
"Omicron posterior","sigma_z",4.44455610461277
"Omicron posterior","lambda1",0.0196944186625846
"Omicron posterior","lambda_I",0.382177545330298
"Omicron posterior","r",0.317340483841112
"Omicron posterior","d",0.842775219559823
"Omicron posterior","m",1.57949
"Omicron posterior","kappa",1.74580889780817
"Omicron posterior","sigma_z",4.34884372751392
"Omicron posterior","lambda1",0.0739489713497374
"Omicron posterior","lambda_I",0.509626079306739
"Omicron posterior","r",0.140134864809498
"Omicron posterior","d",0.752382831598058
"Omicron posterior","m",1.94238
"Omicron posterior","kappa",3.83258687699978
"Omicron posterior","sigma_z",4.44811317213376
"Omicron posterior","lambda1",0.188401491538536
"Omicron posterior","lambda_I",0.493919366907722
"Omicron posterior","r",0.16733290629227
"Omicron posterior","d",0.819023092136248
"Omicron posterior","m",2.5499
"Omicron posterior","kappa",7.92410991586345
"Omicron posterior","sigma_z",4.44246765406793
"Omicron posterior","lambda1",0.77549402585449
"Omicron posterior","lambda_I",1.88049304417828
"Omicron posterior","r",0.164485970192087
"Omicron posterior","d",0.774661592367521
"Omicron posterior","m",2.37851
"Omicron posterior","kappa",2.01034027743724
"Omicron posterior","sigma_z",3.98688410597675
"Omicron posterior","lambda1",0.23087934983281
"Omicron posterior","lambda_I",1.18690965418853
"Omicron posterior","r",0.295076687145415
"Omicron posterior","d",0.696912788607037
"Omicron posterior","m",2.17497
"Omicron posterior","kappa",6.47274315928198
"Omicron posterior","sigma_z",3.82825849982245
"Omicron posterior","lambda1",0.264546034327868
"Omicron posterior","lambda_I",1.08943117257306
"Omicron posterior","r",0.381899421326718
"Omicron posterior","d",0.721798691214262
"Omicron posterior","m",2.1861
"Omicron posterior","kappa",7.88119860865563
"Omicron posterior","sigma_z",4.11768042016338
"Omicron posterior","lambda1",0.325702790186125
"Omicron posterior","lambda_I",1.14004530175678
"Omicron posterior","r",0.329720484536132
"Omicron posterior","d",0.682629517975217
"Omicron posterior","m",1.67833
"Omicron posterior","kappa",2.0223192573517
"Omicron posterior","sigma_z",2.4251272566945
"Omicron posterior","lambda1",0.880799730099727
"Omicron posterior","lambda_I",1.17356602729891
"Omicron posterior","r",0.415450419135729
"Omicron posterior","d",0.624994143306026
"Omicron posterior","m",1.85671
"Omicron posterior","kappa",2.01092134973832
"Omicron posterior","sigma_z",2.9861651330026
"Omicron posterior","lambda1",0.755986318642566
"Omicron posterior","lambda_I",2.08443951215058
"Omicron posterior","r",0.276365780229764
"Omicron posterior","d",0.68974452746571
"Omicron posterior","m",2.37228
"Omicron posterior","kappa",4.13356404614144
"Omicron posterior","sigma_z",2.89443520868304
"Omicron posterior","lambda1",0.690777157493473
"Omicron posterior","lambda_I",2.12306117996458
"Omicron posterior","r",0.166421758321439
"Omicron posterior","d",0.663556682047755
"Omicron posterior","m",2.35635
"Omicron posterior","kappa",4.53329931499264
"Omicron posterior","sigma_z",3.7755648475582
"Omicron posterior","lambda1",0.849815510097491
"Omicron posterior","lambda_I",1.8060479409157
"Omicron posterior","r",0.137917444651119
"Omicron posterior","d",0.640680747470287
"Omicron posterior","m",2.40205
"Omicron posterior","kappa",4.67350815227123
"Omicron posterior","sigma_z",3.75181603965772
"Omicron posterior","lambda1",0.324207998009092
"Omicron posterior","lambda_I",0.876012428816243
"Omicron posterior","r",0.457785291792346
"Omicron posterior","d",0.900926140285293
"Omicron posterior","m",2.08927
"Omicron posterior","kappa",1.19494361479704
"Omicron posterior","sigma_z",4.43656309948719
"Omicron posterior","lambda1",0.265112769031178
"Omicron posterior","lambda_I",0.851175452081995
"Omicron posterior","r",0.529324295490139
"Omicron posterior","d",0.896001671944017
"Omicron posterior","m",2.1035
"Omicron posterior","kappa",1.22872248554919
"Omicron posterior","sigma_z",4.43713989018071
"Omicron posterior","lambda1",0.597243724593565
"Omicron posterior","lambda_I",1.57025652855979
"Omicron posterior","r",0.302558691150052
"Omicron posterior","d",0.792379369467162
"Omicron posterior","m",2.29692
"Omicron posterior","kappa",1.83783454345787
"Omicron posterior","sigma_z",4.02800010127876
"Omicron posterior","lambda1",0.886093325856916
"Omicron posterior","lambda_I",1.3802049463636
"Omicron posterior","r",0.317924927854981
"Omicron posterior","d",0.813912835832551
"Omicron posterior","m",2.14556
"Omicron posterior","kappa",1.94614014864205
"Omicron posterior","sigma_z",4.09055230976457
"Omicron posterior","lambda1",0.658744848019771
"Omicron posterior","lambda_I",1.0237125762895
"Omicron posterior","r",0.267707583635042
"Omicron posterior","d",0.753325404830938
"Omicron posterior","m",2.36396
"Omicron posterior","kappa",1.8145998952007
"Omicron posterior","sigma_z",4.26047220337071
"Omicron posterior","lambda1",0.31092610485602
"Omicron posterior","lambda_I",1.41454086300644
"Omicron posterior","r",0.312494003121816
"Omicron posterior","d",0.709304759968038
"Omicron posterior","m",2.16087
"Omicron posterior","kappa",3.06093369957045
"Omicron posterior","sigma_z",3.05014765218492
"Omicron posterior","lambda1",0.0748791349023398
"Omicron posterior","lambda_I",1.33892760663365
"Omicron posterior","r",0.198312739886624
"Omicron posterior","d",0.718730368956321
"Omicron posterior","m",1.31725
"Omicron posterior","kappa",1.48658270602335
"Omicron posterior","sigma_z",3.391933117442
"Omicron posterior","lambda1",0.347295248701812
"Omicron posterior","lambda_I",1.72497058816701
"Omicron posterior","r",0.229053426304268
"Omicron posterior","d",0.704133014232479
"Omicron posterior","m",2.02622
"Omicron posterior","kappa",3.54419126512037
"Omicron posterior","sigma_z",2.06459689680664
"Omicron posterior","lambda1",0.186846099182732
"Omicron posterior","lambda_I",1.84807766712242
"Omicron posterior","r",0.0908777574736332
"Omicron posterior","d",0.708792826761467
"Omicron posterior","m",2.05875
"Omicron posterior","kappa",3.30858299651708
"Omicron posterior","sigma_z",3.55512420229735
"Omicron posterior","lambda1",0.127114121694444
"Omicron posterior","lambda_I",1.26168862210182
"Omicron posterior","r",0.362652573798819
"Omicron posterior","d",0.741422233633418
"Omicron posterior","m",1.86626
"Omicron posterior","kappa",2.60416477501524
"Omicron posterior","sigma_z",3.7081755864722
"Omicron posterior","lambda1",0.260406866486397
"Omicron posterior","lambda_I",1.12989194018871
"Omicron posterior","r",0.203693268997359
"Omicron posterior","d",0.705796730559147
"Omicron posterior","m",1.82213
"Omicron posterior","kappa",3.67837103261555
"Omicron posterior","sigma_z",1.99109751144941
"Omicron posterior","lambda1",0.173268996329394
"Omicron posterior","lambda_I",1.33296528753695
"Omicron posterior","r",0.344614113343514
"Omicron posterior","d",0.686230981639737
"Omicron posterior","m",1.75099
"Omicron posterior","kappa",2.18224246113945
"Omicron posterior","sigma_z",3.44415985157807
"Omicron posterior","lambda1",0.103887156766967
"Omicron posterior","lambda_I",1.01304150825538
"Omicron posterior","r",0.256350405226205
"Omicron posterior","d",0.870485654081386
"Omicron posterior","m",1.79319
"Omicron posterior","kappa",1.59620988935195
"Omicron posterior","sigma_z",3.94315040901575
"Omicron posterior","lambda1",0.206608413397783
"Omicron posterior","lambda_I",0.812396303000159
"Omicron posterior","r",0.31894710659255
"Omicron posterior","d",0.729150588294909
"Omicron posterior","m",2.0464
"Omicron posterior","kappa",6.15484760632447
"Omicron posterior","sigma_z",2.82718071125831
"Omicron posterior","lambda1",0.0889082802170856
"Omicron posterior","lambda_I",0.60901157797485
"Omicron posterior","r",0.218368778700155
"Omicron posterior","d",0.762053131003377
"Omicron posterior","m",2.06147
"Omicron posterior","kappa",2.96290438970621
"Omicron posterior","sigma_z",3.88564891204871
"Omicron posterior","lambda1",0.616774376645168
"Omicron posterior","lambda_I",1.648284417449
"Omicron posterior","r",0.402293241427391
"Omicron posterior","d",0.705895549018556
"Omicron posterior","m",2.19298
"Omicron posterior","kappa",1.95068189267472
"Omicron posterior","sigma_z",2.98993007248396
"Omicron posterior","lambda1",0.135873632226736
"Omicron posterior","lambda_I",0.479624391075691
"Omicron posterior","r",0.352145794576112
"Omicron posterior","d",0.741027901906665
"Omicron posterior","m",1.76468
"Omicron posterior","kappa",3.44526215909037
"Omicron posterior","sigma_z",3.36056797544358
"Omicron posterior","lambda1",0.108362845762249
"Omicron posterior","lambda_I",0.535231454718267
"Omicron posterior","r",0.402472704230297
"Omicron posterior","d",0.716405450961891
"Omicron posterior","m",1.74853
"Omicron posterior","kappa",4.25229994461916
"Omicron posterior","sigma_z",2.98189796861211
"Omicron posterior","lambda1",0.0539158921199132
"Omicron posterior","lambda_I",0.517909376950419
"Omicron posterior","r",0.296280096539016
"Omicron posterior","d",0.769884327072823
"Omicron posterior","m",1.94788
"Omicron posterior","kappa",5.09734593820781
"Omicron posterior","sigma_z",4.01107786714949
"Omicron posterior","lambda1",0.028419492886945
"Omicron posterior","lambda_I",0.436275654638633
"Omicron posterior","r",0.248858703351857
"Omicron posterior","d",0.744613490445112
"Omicron posterior","m",1.6403
"Omicron posterior","kappa",4.03949627583468
