n_pairs,rep_id,true_mean_gen,true_sd_gen,mean_gen_median,mean_gen_q05,mean_gen_q95,mean_gen_error,mean_gen_abs_error,mean_gen_ci_width,mean_gen_covered,sd_gen_median,sd_gen_q05,sd_gen_q95,sd_gen_error,sd_gen_abs_error,sd_gen_ci_width,sd_gen_covered,max_rhat,min_ess_bulk,min_ess_tail,n_divergent
30,17,5.060354079778466,2.427456447399629,5.126245,4.269062000000001,6.144804,0.06589092022153409,0.06589092022153409,1.875741999999999,TRUE,2.2633650000000003,1.6958535000000001,3.2730794999999993,-0.1640914473996289,0.1640914473996289,1.5772259999999991,TRUE,1.0084073040923514,671.3999649684788,386.54383654143146,0
30,18,5.060354079778466,2.427456447399629,6.178195,5.2354485,7.186983999999999,1.1178409202215338,1.1178409202215338,1.9515354999999985,FALSE,2.65922,1.931597,3.597697999999998,0.23176355260037074,0.23176355260037074,1.666100999999998,TRUE,1.0183485692184555,523.5019914883113,273.84317742042197,0
30,19,5.060354079778466,2.427456447399629,4.959490000000001,4.1383285,5.8691045,-0.10086407977846523,0.10086407977846523,1.7307759999999996,TRUE,2.0135199999999998,1.5462405000000001,2.7203939999999998,-0.4139364473996294,0.4139364473996294,1.1741534999999996,TRUE,1.013153566465496,550.9713090584578,310.7964245119971,0
30,20,5.060354079778466,2.427456447399629,5.45486,4.4993,6.54192,0.3945059202215342,0.3945059202215342,2.0426200000000003,TRUE,2.64672,2.0403119999999997,3.6381089999999996,0.219263552600371,0.219263552600371,1.597797,TRUE,1.0137173410440035,403.30255945998397,279.394878524035,0
30,21,5.060354079778466,2.427456447399629,4.991805,4.072467,6.051746,-0.06854907977846558,0.06854907977846558,1.979279,TRUE,2.5358,2.011767,3.58621,0.10834355260037087,0.10834355260037087,1.574443,TRUE,1.0091363288251307,503.2733444008817,302.0156912267068,0
30,22,5.060354079778466,2.427456447399629,5.520325,4.6566925,6.529345,0.45997092022153385,0.45997092022153385,1.8726525,TRUE,2.3148549999999997,1.745703,3.22894,-0.11260144739962952,0.11260144739962952,1.4832370000000001,TRUE,1.0152209420982892,431.8891592082515,231.27554549104875,0
30,23,5.060354079778466,2.427456447399629,5.16833,4.2095435,6.2703169999999995,0.10797592022153424,0.10797592022153424,2.0607735,TRUE,2.695285,2.059619,3.664634499999999,0.267828552600371,0.267828552600371,1.605015499999999,TRUE,1.0090583810054294,350.68182931695753,148.838954231391,0
30,24,5.060354079778466,2.427456447399629,4.628275,3.8291799999999996,5.6604845,-0.4320790797784655,0.4320790797784655,1.8313045000000003,TRUE,2.3490900000000003,1.808451,3.4182004999999993,-0.07836644739962884,0.07836644739962884,1.6097494999999993,TRUE,1.0164274802704625,513.2807344956374,273.04139024831136,0
30,25,5.060354079778466,2.427456447399629,5.153795000000001,4.298734500000001,6.225911999999999,0.09344092022153472,0.09344092022153472,1.9271774999999982,TRUE,2.34108,1.772642,3.286978499999999,-0.08637644739962935,0.08637644739962935,1.514336499999999,TRUE,1.0076758623466155,429.1620027348068,352.71502168718905,0
30,26,5.060354079778466,2.427456447399629,6.00084,5.123226,7.1021945,0.9404859202215343,0.9404859202215343,1.9789685000000006,FALSE,2.4328950000000003,1.814393,3.4002765000000004,0.005438552600371072,0.005438552600371072,1.5858835000000004,TRUE,1.0268234185285214,231.11529022380034,81.57667053723753,0
30,27,5.060354079778466,2.427456447399629,5.17487,4.2553515,6.273234,0.11451592022153445,0.11451592022153445,2.0178825000000007,TRUE,2.583245,2.0300255,3.5406999999999997,0.1557885526003706,0.1557885526003706,1.5106745,TRUE,1.0084545313217268,557.1159268167261,463.46717534926455,0
