model,strain,mean_gen,sd_gen,strain_label
Lognormal,SGTF,2.6822823,1.4493742,Omicron
Lognormal,SGTF,2.711794,1.3398523,Omicron
Lognormal,SGTF,2.9665326,1.5539876,Omicron
Lognormal,SGTF,3.1145039,1.6957975,Omicron
Lognormal,SGTF,3.1781704,1.489126,Omicron
Lognormal,SGTF,3.2272808,1.6762297,Omicron
Lognormal,SGTF,3.1979748,1.6218094,Omicron
Lognormal,SGTF,3.2000506,1.6104137,Omicron
Lognormal,SGTF,3.0559988,1.5543406,Omicron
Lognormal,SGTF,3.0776986,1.6771632,Omicron
Lognormal,SGTF,3.0434591,1.3528849,Omicron
Lognormal,SGTF,3.1342621,1.207294,Omicron
Lognormal,SGTF,3.1892114,1.7020654,Omicron
Lognormal,SGTF,3.2413162,1.8181235,Omicron
Lognormal,SGTF,3.0581153,1.7143381,Omicron
Lognormal,SGTF,3.2400369,2.2742297,Omicron
Lognormal,SGTF,2.8573913,0.91536606,Omicron
Lognormal,SGTF,3.0953773,1.891038,Omicron
Lognormal,SGTF,2.8716235,1.4112626,Omicron
Lognormal,SGTF,2.8109042,1.4724834,Omicron
Lognormal,SGTF,2.7927619,1.3553963,Omicron
Lognormal,SGTF,3.1474443,1.7718254,Omicron
Lognormal,SGTF,2.7366616,1.0763179,Omicron
Lognormal,SGTF,3.1403565,1.5131458,Omicron
Lognormal,SGTF,3.0219848,1.3333424,Omicron
Lognormal,SGTF,2.9888629,1.201093,Omicron
Lognormal,SGTF,2.9106954,1.2367545,Omicron
Lognormal,SGTF,2.9344935,1.496547,Omicron
Lognormal,SGTF,3.116518,1.73414,Omicron
Lognormal,SGTF,3.052609,1.727803,Omicron
Lognormal,SGTF,2.9747947,1.5045426,Omicron
Lognormal,SGTF,2.8508026,1.1179671,Omicron
Lognormal,SGTF,2.8153875,1.169725,Omicron
Lognormal,SGTF,2.8635007,1.4305218,Omicron
Lognormal,SGTF,2.8469406,1.0411715,Omicron
Lognormal,SGTF,2.8091844,1.2307569,Omicron
Lognormal,SGTF,3.0071094,1.5439379,Omicron
Lognormal,SGTF,3.3529665,1.9247028,Omicron
Lognormal,SGTF,2.9868704,1.1785777,Omicron
Lognormal,SGTF,3.0537267,1.2665209,Omicron
Lognormal,SGTF,2.9665193,1.7342788,Omicron
Lognormal,SGTF,2.9154578,1.5313848,Omicron
Lognormal,SGTF,2.8530354,1.3760864,Omicron
Lognormal,SGTF,3.0100323,1.4439795,Omicron
Lognormal,SGTF,3.0133768,1.5064285,Omicron
Lognormal,SGTF,2.9487115,1.4427461,Omicron
Lognormal,SGTF,3.1867394,1.7108327,Omicron
Lognormal,SGTF,3.2433359,1.7777273,Omicron
Lognormal,SGTF,2.8999197,1.439473,Omicron
Lognormal,SGTF,3.0625601,1.6150854,Omicron
Lognormal,SGTF,2.7538132,1.3472794,Omicron
Lognormal,SGTF,2.7379576,1.3054502,Omicron
Lognormal,SGTF,3.1370506,2.0383864,Omicron
Lognormal,SGTF,2.7983922,1.2106518,Omicron
Lognormal,SGTF,2.9597987,1.4828903,Omicron
Lognormal,SGTF,2.9189033,1.5136322,Omicron
Lognormal,SGTF,2.9672275,1.7479285,Omicron
Lognormal,SGTF,2.8692975,1.5037338,Omicron
Lognormal,SGTF,2.9630736,1.6868866,Omicron
Lognormal,SGTF,3.0158771,1.5710266,Omicron
Lognormal,SGTF,2.9601582,1.3384118,Omicron
Lognormal,SGTF,3.0575683,1.4554295,Omicron
Lognormal,SGTF,3.2518767,2.1221508,Omicron
Lognormal,SGTF,3.005578,1.407225,Omicron
Lognormal,SGTF,3.1058649,1.7333881,Omicron
Lognormal,SGTF,2.9226154,1.3966535,Omicron
Lognormal,SGTF,3.0949436,1.7058641,Omicron
Lognormal,SGTF,2.8436416,1.1118772,Omicron
Lognormal,SGTF,2.7855477,1.1283771,Omicron
Lognormal,SGTF,2.7586972,1.3063106,Omicron
Lognormal,SGTF,2.787088,1.357336,Omicron
Lognormal,SGTF,2.7685675,1.2034036,Omicron
Lognormal,SGTF,2.6872651,1.0450357,Omicron
Lognormal,SGTF,3.0102147,1.7428231,Omicron
Lognormal,SGTF,2.897471,1.4064013,Omicron
Lognormal,SGTF,2.9874368,1.6319013,Omicron
Lognormal,SGTF,2.9996977,1.7993282,Omicron
Lognormal,SGTF,2.8450288,1.2558478,Omicron
Lognormal,SGTF,2.883863,1.2903707,Omicron
Lognormal,SGTF,2.9101832,1.3843781,Omicron
Lognormal,SGTF,2.9223175,1.465114,Omicron
Lognormal,SGTF,2.8728551,1.4417341,Omicron
Lognormal,SGTF,2.8149339,1.6032959,Omicron
Lognormal,SGTF,2.8153568,1.5885729,Omicron
Lognormal,SGTF,2.7513169,1.2935428,Omicron
Lognormal,SGTF,3.0657382,1.9660062,Omicron
Lognormal,SGTF,3.0015734,1.7099646,Omicron
Lognormal,SGTF,2.9772235,1.3524689,Omicron
Lognormal,SGTF,2.9734216,1.8876707,Omicron
Lognormal,SGTF,2.9480272,1.0233947,Omicron
Lognormal,SGTF,2.9912042,1.7250723,Omicron
Lognormal,SGTF,2.8402028,1.4459227,Omicron
Lognormal,SGTF,2.8976274,1.4508881,Omicron
Lognormal,SGTF,3.0656763,1.5168409,Omicron
Lognormal,SGTF,3.127967,1.4886581,Omicron
Lognormal,SGTF,3.1415882,1.4620599,Omicron
Lognormal,SGTF,2.9220449,1.3412354,Omicron
Lognormal,SGTF,3.0192909,1.8086976,Omicron
Lognormal,SGTF,2.97367,1.5428059,Omicron
Lognormal,SGTF,2.9700188,1.6245393,Omicron
Lognormal,SGTF,3.0650076,1.5288713,Omicron
Lognormal,SGTF,2.9314987,1.4525932,Omicron
Lognormal,SGTF,3.0588909,1.6494458,Omicron
Lognormal,SGTF,3.0107956,1.5240311,Omicron
Lognormal,SGTF,2.9960035,1.5989822,Omicron
Lognormal,SGTF,3.0352393,1.4934538,Omicron
Lognormal,SGTF,3.0785521,1.7432009,Omicron
Lognormal,SGTF,2.9433781,1.620353,Omicron
Lognormal,SGTF,2.9770318,1.782534,Omicron
Lognormal,SGTF,2.9569694,1.6324635,Omicron
Lognormal,SGTF,2.9942732,1.5802223,Omicron
Lognormal,SGTF,2.9606487,1.6009071,Omicron
Lognormal,SGTF,2.9188717,1.2081409,Omicron
Lognormal,SGTF,2.8406403,1.0957065,Omicron
Lognormal,SGTF,3.0171478,1.2692334,Omicron
Lognormal,SGTF,3.0306844,1.3263164,Omicron
Lognormal,SGTF,3.0477032,1.3164445,Omicron
Lognormal,SGTF,3.0308597,1.332489,Omicron
Lognormal,SGTF,2.9086381,1.574001,Omicron
Lognormal,SGTF,3.0653265,1.431625,Omicron
Lognormal,SGTF,3.04245,1.5591105,Omicron
Lognormal,SGTF,2.7862353,1.1684992,Omicron
Lognormal,SGTF,2.9743618,1.6014419,Omicron
Lognormal,SGTF,2.9838242,1.6166343,Omicron
Lognormal,SGTF,2.9628712,1.5952881,Omicron
Lognormal,SGTF,3.020359,1.822453,Omicron
Lognormal,SGTF,2.7998609,1.5539607,Omicron
Lognormal,SGTF,3.0251375,1.8087152,Omicron
Lognormal,SGTF,2.930763,1.5557703,Omicron
Lognormal,SGTF,2.9178317,1.6250458,Omicron
Lognormal,SGTF,2.8627223,1.55003,Omicron
Lognormal,SGTF,2.899465,1.5957296,Omicron
Lognormal,SGTF,2.9979259,1.2936424,Omicron
Lognormal,SGTF,2.8961695,1.0775324,Omicron
Lognormal,SGTF,2.8388451,1.0341467,Omicron
Lognormal,SGTF,3.0708958,1.4746888,Omicron
Lognormal,SGTF,3.131303,1.4228591,Omicron
Lognormal,SGTF,3.1280891,1.7060423,Omicron
Lognormal,SGTF,3.0921171,1.7312129,Omicron
