"model","strain","mean_gen","sd_gen"
"Lognormal","SGTF",2.9778029,1.3714336
"Lognormal","SGTF",3.039881,1.4061159
"Lognormal","SGTF",2.8461135,1.5692351
"Lognormal","SGTF",2.9954013,1.9139952
"Lognormal","SGTF",3.028526,1.7324278
"Lognormal","SGTF",2.9247569,1.593167
"Lognormal","SGTF",3.1221065,2.0259774
"Lognormal","SGTF",3.0182734,1.3751531
"Lognormal","SGTF",2.9891603,1.2674377
"Lognormal","SGTF",3.0201518,1.7554498
"Lognormal","SGTF",3.0490386,1.9219975
"Lognormal","SGTF",2.9606098,1.2228716
"Lognormal","SGTF",2.9334029,1.2171164
"Lognormal","SGTF",3.1669162,1.3366273
"Lognormal","SGTF",3.3682177,2.2914616
"Lognormal","SGTF",3.2483521,2.0773578
"Lognormal","SGTF",3.1731452,2.0004021
"Lognormal","SGTF",2.8445947,1.3474812
"Lognormal","SGTF",2.9912726,1.4362204
"Lognormal","SGTF",3.1179401,1.864142
"Lognormal","SGTF",2.7400495,1.3294404
"Lognormal","SGTF",2.7826767,1.4258888
"Lognormal","SGTF",2.9152916,1.6876051
"Lognormal","SGTF",2.7811882,1.4629539
"Lognormal","SGTF",3.1813157,1.9812209
"Lognormal","SGTF",2.8533475,1.0409753
"Lognormal","SGTF",3.0296233,1.4800414
"Lognormal","SGTF",2.9545359,1.4685942
"Lognormal","SGTF",2.6368934,1.1502419
"Lognormal","SGTF",3.3392846,2.1182951
"Lognormal","SGTF",2.9485946,1.5400573
"Lognormal","SGTF",2.9661214,1.4390779
"Lognormal","SGTF",3.0564397,1.4989251
"Lognormal","SGTF",2.7893221,1.1148098
"Lognormal","SGTF",2.8158716,1.1023546
"Lognormal","SGTF",2.7327572,1.0669423
"Lognormal","SGTF",2.8048247,1.0896123
"Lognormal","SGTF",2.8026577,1.0821958
"Lognormal","SGTF",2.9252334,1.5586625
"Lognormal","SGTF",2.9853631,1.4057485
"Lognormal","SGTF",3.0090982,1.3387554
"Lognormal","SGTF",2.9754294,1.7300126
"Lognormal","SGTF",2.9344931,1.594041
"Lognormal","SGTF",2.9088151,1.6792225
"Lognormal","SGTF",3.0168316,1.334514
"Lognormal","SGTF",3.0610664,1.6316058
"Lognormal","SGTF",2.9054564,1.4144758
"Lognormal","SGTF",3.0651327,1.5580488
"Lognormal","SGTF",2.9394249,1.2615653
"Lognormal","SGTF",2.9445636,1.6358598
"Lognormal","SGTF",2.9247874,1.625226
"Lognormal","SGTF",3.0347233,1.8176892
"Lognormal","SGTF",2.9091699,1.5793186
"Lognormal","SGTF",3.006582,1.8512369
"Lognormal","SGTF",2.9017816,1.4757447
"Lognormal","SGTF",3.1265776,1.3592168
"Lognormal","SGTF",2.8817822,1.4044313
"Lognormal","SGTF",2.8649794,1.0584637
"Lognormal","SGTF",3.1170654,1.7139507
"Lognormal","SGTF",2.9380968,1.5322644
"Lognormal","SGTF",3.0461073,1.3620815
"Lognormal","SGTF",2.7124864,1.2308099
"Lognormal","SGTF",2.7123894,1.3820762
"Lognormal","SGTF",2.7003595,1.3018364
